2025-01-28 04:24:10 install passwd:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:10 status half-installed passwd:arm64 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:11 status unpacked passwd:arm64 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:11 upgrade perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2025-01-28 04:24:11 status half-configured perl-base:arm64 5.38.2-3.2build2
2025-01-28 04:24:11 status unpacked perl-base:arm64 5.38.2-3.2build2
2025-01-28 04:24:11 status half-installed perl-base:arm64 5.38.2-3.2build2
2025-01-28 04:24:13 status unpacked perl-base:arm64 5.38.2-3.2build2
2025-01-28 04:24:13 install procps:arm64 <none> 2:4.0.4-4ubuntu3
2025-01-28 04:24:13 status half-installed procps:arm64 2:4.0.4-4ubuntu3
2025-01-28 04:24:14 status unpacked procps:arm64 2:4.0.4-4ubuntu3
2025-01-28 04:24:14 install sed:arm64 <none> 4.9-2build1
2025-01-28 04:24:14 status half-installed sed:arm64 4.9-2build1
2025-01-28 04:24:14 status unpacked sed:arm64 4.9-2build1
2025-01-28 04:24:14 install sensible-utils:all <none> 0.0.22
2025-01-28 04:24:14 status half-installed sensible-utils:all 0.0.22
2025-01-28 04:24:14 status unpacked sensible-utils:all 0.0.22
2025-01-28 04:24:14 install sysvinit-utils:arm64 <none> 3.08-6ubuntu3
2025-01-28 04:24:14 status half-installed sysvinit-utils:arm64 3.08-6ubuntu3
2025-01-28 04:24:14 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2025-01-28 04:24:14 install tar:arm64 <none> 1.35+dfsg-3build1
2025-01-28 04:24:14 status half-installed tar:arm64 1.35+dfsg-3build1
2025-01-28 04:24:15 status unpacked tar:arm64 1.35+dfsg-3build1
2025-01-28 04:24:15 install util-linux:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:24:15 status half-installed util-linux:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:15 status unpacked util-linux:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:15 install zlib1g:arm64 <none> 1:1.3.dfsg-3.1ubuntu2
2025-01-28 04:24:15 status half-installed zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2025-01-28 04:24:16 status unpacked zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2025-01-28 04:24:16 startup packages configure
2025-01-28 04:24:16 configure gcc-14-base:arm64 14-20240412-0ubuntu1 <none>
2025-01-28 04:24:16 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:16 status half-configured gcc-14-base:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:16 status installed gcc-14-base:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:16 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2025-01-28 04:24:16 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2025-01-28 04:24:16 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2025-01-28 04:24:16 status installed libaudit-common:all 1:3.1.2-2.1build1
2025-01-28 04:24:16 configure libsemanage-common:all 3.5-1build5 <none>
2025-01-28 04:24:16 status unpacked libsemanage-common:all 3.5-1build5
2025-01-28 04:24:16 status half-configured libsemanage-common:all 3.5-1build5
2025-01-28 04:24:16 status installed libsemanage-common:all 3.5-1build5
2025-01-28 04:24:16 configure debconf:all 1.5.86ubuntu1 <none>
2025-01-28 04:24:16 status unpacked debconf:all 1.5.86ubuntu1
2025-01-28 04:24:16 status half-configured debconf:all 1.5.86ubuntu1
2025-01-28 04:24:21 status installed debconf:all 1.5.86ubuntu1
2025-01-28 04:24:21 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2025-01-28 04:24:21 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2025-01-28 04:24:21 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2025-01-28 04:24:21 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2025-01-28 04:24:21 configure init-system-helpers:all 1.66ubuntu1 <none>
2025-01-28 04:24:21 status unpacked init-system-helpers:all 1.66ubuntu1
2025-01-28 04:24:21 status half-configured init-system-helpers:all 1.66ubuntu1
2025-01-28 04:24:21 status installed init-system-helpers:all 1.66ubuntu1
2025-01-28 04:24:21 configure sensible-utils:all 0.0.22 <none>
2025-01-28 04:24:21 status unpacked sensible-utils:all 0.0.22
2025-01-28 04:24:21 status half-configured sensible-utils:all 0.0.22
2025-01-28 04:24:21 status installed sensible-utils:all 0.0.22
2025-01-28 04:24:21 configure libgcc-s1:arm64 14-20240412-0ubuntu1 <none>
2025-01-28 04:24:21 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:21 status half-configured libgcc-s1:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:21 status installed libgcc-s1:arm64 14-20240412-0ubuntu1
2025-01-28 04:24:21 configure libc6:arm64 2.39-0ubuntu8 <none>
2025-01-28 04:24:21 status unpacked libc6:arm64 2.39-0ubuntu8
2025-01-28 04:24:21 status half-configured libc6:arm64 2.39-0ubuntu8
2025-01-28 04:24:26 status installed libc6:arm64 2.39-0ubuntu8
2025-01-28 04:24:26 configure libmd0:arm64 1.1.0-2build1 <none>
2025-01-28 04:24:26 status unpacked libmd0:arm64 1.1.0-2build1
2025-01-28 04:24:26 status half-configured libmd0:arm64 1.1.0-2build1
2025-01-28 04:24:26 status installed libmd0:arm64 1.1.0-2build1
2025-01-28 04:24:26 configure libattr1:arm64 1:2.5.2-1build1 <none>
2025-01-28 04:24:26 status unpacked libattr1:arm64 1:2.5.2-1build1
2025-01-28 04:24:26 status half-configured libattr1:arm64 1:2.5.2-1build1
2025-01-28 04:24:26 status installed libattr1:arm64 1:2.5.2-1build1
2025-01-28 04:24:26 configure sysvinit-utils:arm64 3.08-6ubuntu3 <none>
2025-01-28 04:24:26 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
